Experiment,Tag,Seed,Trigger,Arch_Pair,L_Mode,Tau,Dist_Ep,Temp,V_Temp,RW,Delta,D_Min,Beta,NQ,Trig_Size,T_Acc,Base_Acc,Design,Base_Sig,Base_P,Base_Ver,FT1%_Acc,FT1%_Sig,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Sig,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Sig,FT10%_P,FT10%_Ver,P_Gap,FP_Rate,Min_P,Median_P,PRUNE_25%_Acc,PRUNE_25%_DeltaPP,PRUNE_25%_Sig,PRUNE_25%_P,PRUNE_25%_Log10P,PRUNE_25%_Ver,PRUNE_25%_P_MR,PRUNE_25%_P_ST1,PRUNE_50%_Acc,PRUNE_50%_DeltaPP,PRUNE_50%_Sig,PRUNE_50%_P,PRUNE_50%_Log10P,PRUNE_50%_Ver,PRUNE_50%_P_MR,PRUNE_50%_P_ST1,PRUNE_75%_Acc,PRUNE_75%_DeltaPP,PRUNE_75%_Sig,PRUNE_75%_P,PRUNE_75%_Log10P,PRUNE_75%_Ver,PRUNE_75%_P_MR,PRUNE_75%_P_ST1,INT8_QUANT_Acc,INT8_QUANT_DeltaPP,INT8_QUANT_Sig,INT8_QUANT_P,INT8_QUANT_Log10P,INT8_QUANT_Ver,INT8_QUANT_P_MR,INT8_QUANT_P_ST1
ExpA1_MainTable,c10v5_resnet20_vgg11_T5_b0.5_d5.0,N/A,REC,resnet20 -> vgg11,soft,N/A,80,5,10.0,0.1,5.0,N/A,0.5,50000,4992,92.6%,85.8%,mean_rest,0.0097,6.9e-227,True,85.3%,0.0094,6.8e-280,True,85.6%,0.0083,2.0e-259,True,85.1%,0.0078,8.4e-225,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c10v5_resnet20_vgg11_T10_b0.5_d5.0,N/A,REC,resnet20 -> vgg11,soft,N/A,80,10,10.0,0.1,5.0,N/A,0.5,50000,5013,92.6%,85.6%,mean_rest,0.0101,2.4e-194,True,85.4%,0.0082,1.1e-226,True,85.3%,0.0078,1.5e-215,True,85.3%,0.0077,2.4e-192,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c10v5_vgg11_vgg11_T1_b0.5_d5.0,N/A,REC,vgg11 -> vgg11,soft,N/A,80,1,10.0,0.1,5.0,N/A,0.5,50000,5156,92.8%,82.8%,mean_rest,0.0290,0.0e+00,True,82.4%,0.0286,0.0e+00,True,82.4%,0.0255,0.0e+00,True,81.8%,0.0234,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c10v5_vgg11_vgg11_T3_b0.5_d5.0,N/A,REC,vgg11 -> vgg11,soft,N/A,80,3,10.0,0.1,5.0,N/A,0.5,50000,5067,92.8%,84.1%,mean_rest,0.0084,0.0e+00,True,83.6%,0.0081,0.0e+00,True,83.3%,0.0075,0.0e+00,True,83.5%,0.0071,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c10v5_vgg11_vgg11_T5_b0.5_d5.0,N/A,REC,vgg11 -> vgg11,soft,N/A,80,5,10.0,0.1,5.0,N/A,0.5,50000,5053,92.8%,84.9%,mean_rest,0.0080,0.0e+00,True,84.1%,0.0072,0.0e+00,True,84.5%,0.0065,0.0e+00,True,84.3%,0.0063,3.7e-261,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c10v5_vgg11_vgg11_T10_b0.5_d5.0,N/A,REC,vgg11 -> vgg11,soft,N/A,80,10,10.0,0.1,5.0,N/A,0.5,50000,5028,92.8%,84.3%,mean_rest,0.0054,2.0e-197,True,83.2%,0.0049,2.9e-186,True,82.8%,0.0040,7.4e-134,True,83.1%,0.0040,7.9e-107,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c10v5_cross_b0.5_d5.0_T1,N/A,REC,resnet20 -> vgg11,soft,N/A,80,1,10.0,0.1,5.0,N/A,0.5,50000,4979,92.6%,84.1%,mean_rest,0.0132,0.0e+00,True,83.9%,0.0132,0.0e+00,True,84.0%,0.0125,0.0e+00,True,84.0%,0.0119,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c10v5_cross_b0.5_d7.0_T1,N/A,REC,resnet20 -> vgg11,soft,N/A,80,1,10.0,0.1,7.0,N/A,0.5,50000,5008,92.6%,83.3%,mean_rest,0.0136,0.0e+00,True,83.1%,0.0137,0.0e+00,True,83.1%,0.0129,0.0e+00,True,83.1%,0.0126,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c10v5_cross_b0.5_d5.0_T3,N/A,REC,resnet20 -> vgg11,soft,N/A,80,3,10.0,0.1,5.0,N/A,0.5,50000,4963,92.6%,85.4%,mean_rest,0.0099,1.6e-286,True,84.9%,0.0090,0.0e+00,True,85.2%,0.0085,0.0e+00,True,85.2%,0.0085,7.6e-294,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c10v5_cross_b0.5_d7.0_T3,N/A,REC,resnet20 -> vgg11,soft,N/A,80,3,10.0,0.1,7.0,N/A,0.5,50000,4969,92.6%,85.1%,mean_rest,0.0107,0.0e+00,True,85.0%,0.0105,0.0e+00,True,85.3%,0.0097,0.0e+00,True,85.2%,0.0089,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
