Experiment,Tag,Seed,Trigger,Arch_Pair,L_Mode,Tau,Dist_Ep,Temp,V_Temp,RW,Delta,D_Min,Beta,NQ,Trig_Size,T_Acc,Base_Acc,Design,Base_Sig,Base_P,Base_Ver,FT1%_Acc,FT1%_Sig,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Sig,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Sig,FT10%_P,FT10%_Ver,P_Gap,FP_Rate,Min_P,Median_P,PRUNE_25%_Acc,PRUNE_25%_DeltaPP,PRUNE_25%_Sig,PRUNE_25%_P,PRUNE_25%_Log10P,PRUNE_25%_Ver,PRUNE_25%_P_MR,PRUNE_25%_P_ST1,PRUNE_50%_Acc,PRUNE_50%_DeltaPP,PRUNE_50%_Sig,PRUNE_50%_P,PRUNE_50%_Log10P,PRUNE_50%_Ver,PRUNE_50%_P_MR,PRUNE_50%_P_ST1,PRUNE_75%_Acc,PRUNE_75%_DeltaPP,PRUNE_75%_Sig,PRUNE_75%_P,PRUNE_75%_Log10P,PRUNE_75%_Ver,PRUNE_75%_P_MR,PRUNE_75%_P_ST1,INT8_QUANT_Acc,INT8_QUANT_DeltaPP,INT8_QUANT_Sig,INT8_QUANT_P,INT8_QUANT_Log10P,INT8_QUANT_Ver,INT8_QUANT_P_MR,INT8_QUANT_P_ST1
ExpA1_MainTable,c100v5_vgg11_vgg11_T1,N/A,REC,vgg11 -> vgg11,soft,N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,4893,70.8%,41.9%,mean_rest,0.0013,4.2e-01,False,35.1%,0.0010,4.4e-01,False,33.7%,0.0007,3.8e-01,False,34.3%,0.0006,1.8e-01,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_vgg11_vgg11_T3,N/A,REC,vgg11 -> vgg11,soft,N/A,160,3,15.0,0.1,15.0,N/A,0.5,50000,4960,70.8%,52.8%,mean_rest,0.0015,0.0e+00,True,50.3%,0.0014,0.0e+00,True,50.2%,0.0011,0.0e+00,True,50.4%,0.0010,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_vgg11_vgg11_T5,N/A,REC,vgg11 -> vgg11,soft,N/A,160,5,15.0,0.1,15.0,N/A,0.5,50000,4993,70.8%,53.5%,mean_rest,0.0012,7.5e-197,True,51.6%,0.0010,4.5e-187,True,51.2%,0.0009,2.4e-181,True,48.5%,0.0007,8.3e-161,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_vgg11_vgg11_T5_b0.7_d15.0,N/A,REC,vgg11 -> vgg11,soft,N/A,160,5,15.0,0.1,15.0,N/A,0.7,50000,5018,70.8%,54.2%,mean_rest,0.0021,0.0e+00,True,52.2%,0.0017,0.0e+00,True,52.4%,0.0015,0.0e+00,True,51.3%,0.0014,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_vgg11_vgg11_T10,N/A,REC,vgg11 -> vgg11,soft,N/A,160,10,15.0,0.1,15.0,N/A,0.5,50000,5122,70.8%,53.4%,mean_rest,0.0008,3.3e-106,True,51.9%,0.0008,1.9e-110,True,51.7%,0.0007,5.5e-110,True,51.9%,0.0006,2.4e-107,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_vgg11_vgg11_T10_b0.7_d15.0,N/A,REC,vgg11 -> vgg11,soft,N/A,160,10,15.0,0.1,15.0,N/A,0.7,50000,4937,70.8%,54.5%,mean_rest,0.0013,6.0e-207,True,53.0%,0.0012,4.9e-213,True,53.2%,0.0010,2.1e-209,True,53.3%,0.0010,2.2e-204,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c100v5_cross_b0.7_d15.0_T1,N/A,REC,resnet56 -> resnet20,soft,N/A,160,1,15.0,0.1,15.0,N/A,0.7,50000,4911,72.6%,47.2%,mean_rest,0.0034,0.0e+00,True,47.2%,0.0033,0.0e+00,True,48.5%,0.0030,0.0e+00,True,49.5%,0.0028,4.3e-307,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c100v5_cross_b0.7_d20.0_T1,N/A,REC,resnet56 -> resnet20,soft,N/A,160,1,15.0,0.1,20.0,N/A,0.7,50000,4962,72.6%,47.2%,mean_rest,0.0034,0.0e+00,True,47.5%,0.0031,0.0e+00,True,48.8%,0.0029,0.0e+00,True,49.6%,0.0027,4.9e-288,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c100v5_cross_b0.7_d15.0_T3,N/A,REC,resnet56 -> resnet20,soft,N/A,160,3,15.0,0.1,15.0,N/A,0.7,50000,4950,72.6%,52.2%,mean_rest,0.0034,0.0e+00,True,51.5%,0.0031,0.0e+00,True,51.5%,0.0026,0.0e+00,True,52.1%,0.0021,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c100v5_cross_b0.7_d20.0_T3,N/A,REC,resnet56 -> resnet20,soft,N/A,160,3,15.0,0.1,20.0,N/A,0.7,50000,5027,72.6%,51.2%,mean_rest,0.0035,0.0e+00,True,50.4%,0.0031,0.0e+00,True,51.2%,0.0027,0.0e+00,True,51.9%,0.0023,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c100v5_cross_b0.7_d15.0_T5,N/A,REC,resnet56 -> resnet20,soft,N/A,160,5,15.0,0.1,15.0,N/A,0.7,50000,5001,72.6%,52.8%,mean_rest,0.0023,0.0e+00,True,52.3%,0.0020,0.0e+00,True,52.5%,0.0015,0.0e+00,True,53.5%,0.0013,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c100v5_cross_b0.7_d20.0_T5,N/A,REC,resnet56 -> resnet20,soft,N/A,160,5,15.0,0.1,20.0,N/A,0.7,50000,5002,72.6%,52.3%,mean_rest,0.0024,0.0e+00,True,51.4%,0.0021,0.0e+00,True,52.0%,0.0016,0.0e+00,True,52.7%,0.0013,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c100v5_cross_b0.7_d15.0_T10,N/A,REC,resnet56 -> resnet20,soft,N/A,160,10,15.0,0.1,15.0,N/A,0.7,50000,5008,72.6%,54.4%,mean_rest,0.0017,0.0e+00,True,53.3%,0.0014,0.0e+00,True,53.6%,0.0012,3.9e-304,True,54.2%,0.0010,3.3e-283,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA2_CrossArch,c100v5_cross_b0.7_d20.0_T10,N/A,REC,resnet56 -> resnet20,soft,N/A,160,10,15.0,0.1,20.0,N/A,0.7,50000,5040,72.6%,54.8%,mean_rest,0.0017,0.0e+00,True,53.9%,0.0014,0.0e+00,True,54.5%,0.0013,0.0e+00,True,55.0%,0.0011,2.1e-287,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA3_VTempSweep,c100v5_vtemp_1.0,N/A,REC,resnet56 -> resnet56,soft,N/A,160,5,1.0,0.1,15.0,N/A,0.5,50000,5015,72.6%,57.7%,mean_rest,0.0010,1.0e+00,False,57.5%,0.0009,1.0e+00,False,58.0%,0.0010,1.0e+00,False,58.0%,0.0019,1.0e+00,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
